,season_year,hole,mens_par,womens_par,hole_handicap,hole_score_average,hole_delta_average,hole_delta_rank
0,2020,1,5,5,2,6.990384615384615,1.9903846153846154,2
1,2020,2,3,3,9,4.256410256410256,1.2564102564102564,9
2,2020,3,4,4,6,5.490384615384615,1.4903846153846154,7
3,2020,4,4,4,5,5.852564102564102,1.8525641025641026,5
4,2020,5,4,4,7,5.67948717948718,1.6794871794871795,6
5,2020,6,4,4,4,5.935897435897436,1.935897435897436,3
6,2020,7,4,5,3,6.0,1.8782051282051282,4
7,2020,8,3,3,8,4.333333333333333,1.3333333333333333,8
8,2020,9,5,5,1,7.259615384615385,2.2596153846153846,1
9,2021,1,5,5,2,7.549707602339181,2.5497076023391814,2
10,2021,2,3,3,9,4.518518518518518,1.5185185185185186,8
11,2021,3,4,4,6,5.723196881091618,1.7231968810916178,7
12,2021,4,4,4,5,6.046783625730995,2.046783625730994,4
13,2021,5,4,4,7,5.853801169590644,1.8538011695906433,6
14,2021,6,4,4,4,6.1423001949317735,2.142300194931774,3
15,2021,7,4,5,3,6.093567251461988,1.8732943469785575,5
16,2021,8,3,3,8,4.502923976608187,1.5029239766081872,9
17,2021,9,5,5,1,7.637426900584796,2.6374269005847952,1
18,2022,1,5,5,2,7.315436241610739,2.315436241610738,2
19,2022,2,3,3,9,4.315436241610739,1.3154362416107384,9
20,2022,3,4,4,6,5.621923937360179,1.621923937360179,7
21,2022,4,4,4,5,5.87248322147651,1.8724832214765101,5
22,2022,5,4,4,7,5.762863534675615,1.7628635346756152,6
23,2022,6,4,4,4,6.004474272930649,2.004474272930649,4
24,2022,7,4,5,3,6.23489932885906,2.062639821029083,3
25,2022,8,3,3,8,4.431767337807607,1.4317673378076063,8
26,2022,9,5,5,1,7.434004474272931,2.4340044742729305,1
27,2023,1,5,5,2,7.1737373737373735,2.1737373737373735,2
28,2023,2,3,3,9,4.353535353535354,1.3535353535353536,9
29,2023,3,4,4,6,5.5353535353535355,1.5353535353535352,7
30,2023,4,4,4,5,5.917171717171717,1.917171717171717,5
31,2023,5,4,4,7,5.680808080808081,1.6808080808080808,6
32,2023,6,4,4,4,5.931313131313131,1.9313131313131313,3
33,2023,7,4,5,3,6.05050505050505,1.9191919191919191,4
34,2023,8,3,3,8,4.375757575757576,1.3757575757575757,8
35,2023,9,5,5,1,7.321212121212121,2.3212121212121213,1
36,2024,1,5,5,2,7.0430769230769235,2.043076923076923,2
37,2024,2,3,3,9,4.230769230769231,1.2307692307692308,9
38,2024,3,4,4,6,5.372307692307692,1.3723076923076922,7
39,2024,4,4,4,5,5.7323076923076925,1.7323076923076923,4
40,2024,5,4,4,7,5.676923076923077,1.676923076923077,6
41,2024,6,4,4,4,5.781538461538462,1.7815384615384615,3
42,2024,7,4,5,3,5.84,1.7323076923076923,5
43,2024,8,3,3,8,4.3076923076923075,1.3076923076923077,8
44,2024,9,5,5,1,7.316923076923077,2.316923076923077,1
45,2025,1,5,5,2,7.237785016286645,2.237785016286645,2
46,2025,2,3,3,9,4.358306188925082,1.3583061889250814,9
47,2025,3,4,4,6,5.6612377850162865,1.6612377850162867,7
48,2025,4,4,4,5,5.827361563517916,1.8273615635179152,6
49,2025,5,4,4,7,5.856677524429967,1.8566775244299674,5
50,2025,6,4,4,4,5.859934853420196,1.8599348534201954,4
51,2025,7,4,5,3,6.03257328990228,1.8990228013029316,3
52,2025,8,3,3,8,4.384364820846906,1.3843648208469055,8
53,2025,9,5,5,1,7.263843648208469,2.263843648208469,1
